Date,Predicted
2019-02-07,48963.4799
2019-02-08,49027.0904
2019-02-11,49004.66386
2019-02-12,48944.36642
2019-02-13,48924.6274
2019-02-14,48987.24705
2019-02-15,49084.47607
2019-02-18,49119.61051
2019-02-19,49075.12653
2019-02-20,49020.53604
2019-02-21,49028.12511
2019-02-22,49112.22084
2019-02-25,49197.71037
2019-02-26,49202.13361
2019-02-27,49144.1498
2019-02-28,49104.693
2019-03-04,49141.31139
2019-03-05,49237.222
2019-03-06,49300.84379
2019-03-07,49276.74229
2019-03-08,49215.40462
2019-03-11,49198.62633
2019-03-12,49261.91959
2019-03-13,49358.0628
2019-03-14,49393.04396
2019-03-15,49346.54158
2019-03-18,49292.26305
2019-03-19,49302.8222
2019-03-20,49386.54612
2019-03-21,49471.18095
2019-03-22,49475.06045
2019-03-25,49415.21717
2019-03-26,49377.37218
2019-03-27,49416.34692
2019-03-28,49511.13819
2019-03-29,49574.17667
2019-04-01,49549.06723
2019-04-02,49486.54141
2019-04-03,49472.30678
2019-04-04,49536.92727
2019-04-05,49631.59777
2019-04-08,49666.15945
2019-04-09,49618.31121
2019-04-10,49563.8868
2019-04-11,49577.3441
2019-04-12,49661.23221
2019-04-15,49744.40444
2019-04-16,49747.85528
2019-04-17,49686.62987
2019-04-18,49649.80031
2019-04-19,49691.39614
2019-04-22,49785.32705
2019-04-23,49847.15382
2019-04-24,49821.46691
2019-04-25,49757.91193
2019-04-26,49745.68342
2019-04-29,49812.11981
2019-04-30,49905.23827
2019-05-02,49938.92299
2019-05-03,49890.32008
2019-05-07,49835.57492
2019-05-08,49851.61214
2019-05-09,49936.20381
2019-05-10,50017.54364
2019-05-13,50020.40426
2019-05-14,49958.3595
2019-05-15,49922.12356
2019-05-16,49966.31896
2019-05-17,50059.80477
2019-05-20,50119.89337
2019-05-21,50093.78939
2019-05-22,50029.57604
2019-05-23,50018.83817
2019-05-24,50087.34367
2019-05-27,50179.07905
2019-05-28,50211.37578
2019-05-29,50162.4279
2019-05-30,50107.44976
2019-05-31,50125.62439
2019-06-03,50211.3419
2019-06-04,50290.73617
2019-06-05,50292.66575
2019-06-07,50230.31943
2019-06-10,50194.48407
2019-06-11,50241.03731
2019-06-12,50334.52011
2019-06-13,50392.53002
2019-06-14,50365.93005
2019-06-17,50301.52273
2019-06-18,50291.88781
2019-06-19,50362.47495
2019-06-20,50453.14642
2019-06-21,50483.60872
2019-06-24,50434.50462
2019-06-25,50379.57288
2019-06-26,50399.43874
2019-06-27,50486.51839
2019-06-28,50564.07109
2019-07-01,50564.66289
2019-07-02,50502.39617
2019-07-03,50466.99098
2019-07-04,50515.53751
2019-07-05,50609.38018
2019-07-08,50665.183
2019-07-09,50637.84318
2019-07-10,50573.68843
2019-07-11,50564.95165
2019-07-12,50637.43855
2019-07-15,50727.40796
2019-07-16,50755.73224
2019-07-17,50706.4556
2019-07-18,50651.94586
2019-07-19,50673.14728
2019-07-22,50761.6249
2019-07-23,50837.58113
2019-07-24,50836.46436
2019-07-25,50774.47941
2019-07-26,50739.70497
2019-07-29,50789.85853
2019-07-30,50884.27917
2019-07-31,50937.93457
2019-08-01,50909.53839
2019-08-02,50845.98231
2019-08-05,50838.12584
2019-08-06,50912.2129
2019-08-07,51001.79244
2019-08-08,51027.84875
2019-08-09,50978.23365
2019-08-12,50924.5235
2019-08-13,50946.8492
2019-08-14,51036.59096
2019-08-16,51111.24837
2019-08-19,51108.15982
2019-08-20,51046.48457
2019-08-21,51012.6364
2019-08-22,51064.07192
2019-08-23,51159.12332
2019-08-26,51210.82101
2019-08-27,51181.06637
2019-08-28,51118.31154
2019-08-29,51111.46838
2019-08-30,51186.82232
2019-09-02,51276.21336
2019-09-03,51300.03305
2019-09-04,51249.83846
2019-09-05,51197.23384
2019-09-06,51220.62825
2019-09-09,51311.39017
2019-09-10,51385.01934
2019-09-11,51379.83648
2019-09-16,51318.3649
2019-09-17,51285.75444
2019-09-18,51338.25933
2019-09-19,51433.84782
2019-09-20,51483.83537
2019-09-23,51452.49913
2019-09-24,51390.60133
2019-09-25,51384.99544
2019-09-26,51461.32148
2019-09-27,51550.59052
2019-09-30,51572.32286
2019-10-01,51521.30627
2019-10-02,51469.99938
2019-10-04,51494.53857
2019-10-07,51586.03569
2019-10-08,51658.8242
2019-10-10,51651.56144
2019-10-11,51590.11301
2019-10-14,51559.0028
2019-10-15,51612.49298
2019-10-16,51708.42377
2019-10-17,51756.93862
